,Archivo,Carpeta,Tipo,Recomendación
5,clerk-identity-core.md,private/infra/auth,OTHER,⚠️ Revisar contenido. Posible integración en README de carpeta o crear nuevo Checkpoint
4,clerk-supabase-jwt-bridge.md,private/infra/auth,OTHER,⚠️ Revisar contenido. Posible integración en README de carpeta o crear nuevo Checkpoint
51,bitacora-ingesta-cdu_20250801.md,private/infra/logs/ingestas,OTHER,⚠️ Revisar contenido. Posible integración en README de carpeta o crear nuevo Checkpoint
73,ZDU_FOLDER_DEPENDENCY_STRATEGY_V1.md,private/infra/mappings,OTHER,⚠️ Revisar contenido. Posible integración en README de carpeta o crear nuevo Checkpoint
72,ZDU_FOLDER_MAPPING_SCHEMA_V1.md,private/infra/mappings,OTHER,⚠️ Revisar contenido. Posible integración en README de carpeta o crear nuevo Checkpoint
69,ZDU_INFRA_MILESTONE_001.md,private/infra/milestones,OTHER,⚠️ Revisar contenido. Posible integración en README de carpeta o crear nuevo Checkpoint
101,SUPABASE-STRUCTURE-AUDIT.md,private/infra/sql/auditoria/structure_snapshots,OTHER,⚠️ Revisar contenido. Posible integración en README de carpeta o crear nuevo Checkpoint
12,ZDU_BLOB_SYNC_ENGINE_V1.md,private/infra/zdu-storage/specs,OTHER,⚠️ Revisar contenido. Posible integración en README de carpeta o crear nuevo Checkpoint
10,ZDU_BLOB_VALIDATION_ENGINE_V1.md,private/infra/zdu-storage/specs,OTHER,⚠️ Revisar contenido. Posible integración en README de carpeta o crear nuevo Checkpoint
104,ZDU_QUALITY_INDEX.md,private/quality,OTHER,⚠️ Revisar contenido. Posible integración en README de carpeta o crear nuevo Checkpoint
105,ZDU_QUALITY_INDEX.md,private/quality/console,OTHER,⚠️ Revisar contenido. Posible integración en README de carpeta o crear nuevo Checkpoint
0,README.md,.,README,✓ Ya está documentado correctamente
1,README.md,private,README,✓ Ya está documentado correctamente
102,README.md,private/bitacoras,README,✓ Ya está documentado correctamente
2,README.md,private/infra,README,✓ Ya está documentado correctamente
52,README.md,private/infra/ai,README,✓ Ya está documentado correctamente
56,README.md,private/infra/ai/clerk,README,✓ Ya está documentado correctamente
53,README.md,private/infra/ai/docs,README,✓ Ya está documentado correctamente
54,README.md,private/infra/ai/genie,README,✓ Ya está documentado correctamente
55,README.md,private/infra/ai/modulos-sugeridos,README,✓ Ya está documentado correctamente
76,README.md,private/infra/assets/cdu/ZDU-002,README,✓ Ya está documentado correctamente
75,README.md,private/infra/assets/heroes/luna-varela,README,✓ Ya está documentado correctamente
77,README_QMA360_STRUCTURE.md,private/infra/assets/qma360,README,✓ Ya está documentado correctamente
78,README_qma360.md,private/infra/assets/qma360,README,✓ Ya está documentado correctamente
90,README_banca-beneficios.md,private/infra/assets/qma360/banca-beneficios,README,✓ Ya está documentado correctamente
95,README_banca-datasheets.md,private/infra/assets/qma360/banca-datasheets,README,✓ Ya está documentado correctamente
79,README.md,private/infra/assets/qma360/banca/input,README,✓ Ya está documentado correctamente
80,README.md,private/infra/assets/qma360/banca/output,README,✓ Ya está documentado correctamente
81,README.md,private/infra/assets/qma360/banca/procesado,README,✓ Ya está documentado correctamente
96,README_educacion-textsheets.md,private/infra/assets/qma360/educacion-textsheets,README,✓ Ya está documentado correctamente
86,README.md,private/infra/assets/qma360/gobierno/input,README,✓ Ya está documentado correctamente
87,README.md,private/infra/assets/qma360/gobierno/output,README,✓ Ya está documentado correctamente
88,README.md,private/infra/assets/qma360/gobierno/procesado,README,✓ Ya está documentado correctamente
82,README.md,private/infra/assets/qma360/industria/input,README,✓ Ya está documentado correctamente
83,README.md,private/infra/assets/qma360/industria/output,README,✓ Ya está documentado correctamente
84,README.md,private/infra/assets/qma360/industria/procesado,README,✓ Ya está documentado correctamente
94,README_PARTNER_SYNC.md,private/infra/assets/qma360/partners,README,✓ Ya está documentado correctamente
85,README_salud-beneficios.md,private/infra/assets/qma360/salud-beneficios,README,✓ Ya está documentado correctamente
89,README_salud-casos-estudio.md,private/infra/assets/qma360/salud-casos-estudio,README,✓ Ya está documentado correctamente
97,README_salud-datasheets.md,private/infra/assets/qma360/salud-datasheets,README,✓ Ya está documentado correctamente
91,README.md,private/infra/assets/qma360/salud/input,README,✓ Ya está documentado correctamente
92,README.md,private/infra/assets/qma360/salud/output,README,✓ Ya está documentado correctamente
93,README.md,private/infra/assets/qma360/salud/procesado,README,✓ Ya está documentado correctamente
74,README_renders.md,private/infra/assets/renders,README,✓ Ya está documentado correctamente
98,README_blackcat.md,private/infra/assets/villanos/blackhat,README,✓ Ya está documentado correctamente
6,README.md,private/infra/auth/jwt,README,✓ Ya está documentado correctamente
3,README.md,private/infra/experimental,README,✓ Ya está documentado correctamente
70,README_ZDU_MANIFESTS.md,private/infra/mappings,README,✓ Ya está documentado correctamente
71,readme.md,private/infra/mappings,README,✓ Ya está documentado correctamente
