,Archivo,Ruta,Tipo,Ubicación,Estado,Sugerencia
105,AMEF-ZDU.md,private/quality/AMEF-ZDU.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
117,CEREBRUM.md,private/universe/cerebrum/CEREBRUM.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
104,CONTROL_PLAN-ZDU.md,private/quality/CONTROL_PLAN-ZDU.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
114,IFRL.md,private/universe/ifrl/IFRL.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
99,INTELGEN-RISK.md,private/inteligen/INTELGEN-RISK.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
115,MUTACORE.md,private/universe/mutacore/MUTACORE.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
113,NODO-CAMP.md,private/campaigns/NODO-CAMP.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
116,NODO-CAMP.md,private/universe/nodecamp/NODO-CAMP.md,other,🔍 Fuera de checkpoints,🟡 Por mover,🗑️ Posible duplicado o temporal (revisar)
11,README copy.md,private/infra/experimental/README copy.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (documentación técnica)
13,README-AI-MASTER2.md,private/infra/experimental/README-AI-MASTER2.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (documentación técnica)
46,README-AI-REST.md,private/infra/ai/docs/README-AI-REST.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (infra AI)
47,README-AI-ROADMAP.md,private/infra/ai/docs/README-AI-ROADMAP.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (infra AI)
14,README-CLERK-IDENTITY.md,private/infra/identity/clerk/README-CLERK-IDENTITY.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
98,README-INTELGEN-RISK.md,private/inteligen/README-INTELGEN-RISK.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
94,README-JAVA-ENV.md,private/infra/validation/README-JAVA-ENV.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
106,README-QUALITY-AMEF.md,private/quality/README-QUALITY-AMEF.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
102,README-QUALITY-CHECKPOINT.md,private/quality/README-QUALITY-CHECKPOINT.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
101,README-QUALITY-CONTROL-PLAN.md,private/quality/README-QUALITY-CONTROL-PLAN.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
109,README-ZDU-FRAMEWORK.md,private/framework/README-ZDU-FRAMEWORK.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
55,README-iCrawler.md,private/infra/scripts/crawlers/README-iCrawler.md,other,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
0,README.md,./README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
2,README.md,zdu-storage/blob-inventory/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
5,README.md,zdu-storage/specs/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
18,README.md,private/infra/auth/jwt/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
44,README.md,private/infra/ai/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (infra AI)
52,README.md,private/infra/scripts/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
54,README.md,private/infra/scripts/crawlers/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
59,README.md,private/infra/scripts/audits/modules/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover a /checkpoints (auditoría)
61,README.md,private/infra/scripts/utils/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover (módulos operativos)
62,README.md,private/infra/scripts/data/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📦 Mover (módulos operativos)
74,README.md,private/infra/assets/qma360/banca/input/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
75,README.md,private/infra/assets/qma360/banca/output/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
76,README.md,private/infra/assets/qma360/banca/procesado/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
77,README.md,private/infra/assets/qma360/industria/input/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
78,README.md,private/infra/assets/qma360/industria/output/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
79,README.md,private/infra/assets/qma360/industria/procesado/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
81,README.md,private/infra/assets/qma360/gobierno/input/README.md,readmes,🔍 Fuera de checkpoints,🟡 Por mover,📌 Conservar en su ubicación actual
