Archivo,Ruta,Tipo,Ubicación,Estado
README.md,./README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README_SUPRASTRUCTURE.md,private/infra/README_SUPRASTRUCTURE.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
readme.md,private/infra/readme.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README copy.md,private/infra/experimental/README copy.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
readme.md,private/infra/experimental/readme.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README-AI-MASTER2.md,private/infra/experimental/README-AI-MASTER2.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
clerk-supabase-jwt-bridge.md,private/infra/auth/clerk-supabase-jwt-bridge.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
clerk-identity-core.md,private/infra/auth/clerk-identity-core.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README.md,private/infra/auth/jwt/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README_AUTH.md,private/infra/auth/jwt/README_AUTH.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
readme.md,private/infra/zdu-storage/readme.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
README.md,private/infra/zdu-storage/blob-inventory/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
readme.md,private/infra/zdu-storage/crawlers/readme.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
ZDU_BLOB_VALIDATION_ENGINE_V1.md,private/infra/zdu-storage/specs/ZDU_BLOB_VALIDATION_ENGINE_V1.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
README.md,private/infra/zdu-storage/specs/README.md,readme,fuera de checkpoints,✅ Consolidado en Checkpoints
ZDU_BLOB_SYNC_ENGINE_V1.md,private/infra/zdu-storage/specs/ZDU_BLOB_SYNC_ENGINE_V1.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar)
zdu_quality_checkpoint_AUDIT_MD_JSON_20250803.md,private/infra/checkpoints/zdu_quality_checkpoint_AUDIT_MD_JSON_20250803.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_INFRA_MILESTONE_002.md,private/infra/checkpoints/ZDU_INFRA_MILESTONE_002.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINT_MD_REZAGADOS_2025_08_03.md,private/infra/checkpoints/ZDU_CHECKPOINT_MD_REZAGADOS_2025_08_03.md,other,checkpoints,✅ Consolidado en Checkpoints
ZDU_CHECKPOINT_CLEANUP_20250801.md,private/infra/checkpoints/ZDU_CHECKPOINT_CLEANUP_20250801.md,other,checkpoints,✅ Consolidado en Checkpoints
changelog.md,private/infra/checkpoints/changelog.md,other,checkpoints,✅ Consolidado en Checkpoints
SUPABASE-STRUCTURE-AUDIT.md,private/infra/checkpoints/SUPABASE-STRUCTURE-AUDIT.md,other,checkpoints,✅ Consolidado en Checkpoints
