,Archivo,Ruta,Tipo,Ubicación,Estado,Sugerencia
2,README_SUPRASTRUCTURE.md,private/infra/README_SUPRASTRUCTURE.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
4,README copy.md,private/infra/experimental/README copy.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
6,README-AI-MASTER2.md,private/infra/experimental/README-AI-MASTER2.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
7,clerk-supabase-jwt-bridge.md,private/infra/auth/clerk-supabase-jwt-bridge.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
8,clerk-identity-core.md,private/infra/auth/clerk-identity-core.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
10,README_AUTH.md,private/infra/auth/jwt/README_AUTH.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
14,ZDU_BLOB_VALIDATION_ENGINE_V1.md,private/infra/zdu-storage/specs/ZDU_BLOB_VALIDATION_ENGINE_V1.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
16,ZDU_BLOB_SYNC_ENGINE_V1.md,private/infra/zdu-storage/specs/ZDU_BLOB_SYNC_ENGINE_V1.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
50,bitacora-ingesta-cdu_20250801.md,private/infra/logs/ingestas/bitacora-ingesta-cdu_20250801.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
51,ligas-tecnologias.md,private/infra/ai/ligas-tecnologias.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
53,roadmap.md,private/infra/ai/roadmap.md,other,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
54,README-AI-REST.md,private/infra/ai/docs/README-AI-REST.md,readme,fuera de checkpoints,🚧 Fuera de Checkpoints (Revisar),📥 Evaluar mover a /checkpoints si tiene valor documental
